Group,Coefficient Latex Symbol,Actual,Calculated,Error,Error Percentage
Y,$C_{Y_0}$,0.000,0.001,-0.001,NA
Y, $C_{Y_\beta}$,-0.980,-0.982,0.002,0.25%
Y,$C_{Y_p}$,0.000,0.100,-0.100,NA
Y,$C_{Y_q}$,0.000,-0.564,0.564,NA
Y,$C_{Y_{\delta_a}}$,0.075,0.043,0.032,43.16%
Y,$C_{Y_{\delta_r}}$,0.190,0.156,0.034,18.03%
l,$C_{l_0}$,0.000,0.000,0.000,NA
l,$C_{l_\beta}$,-0.130,-0.089,-0.041,31.66%
l,$C_{l_p}$,-0.510,-0.350,-0.160,31.29%
l,$C_{l_q}$,0.250,0.194,0.056,22.32%
l,$C_{l_{\delta_a}}$,0.170,0.147,0.023,13.26%
l,$C_{l_{\delta_r}}$,0.002,0.002,0.000,17.51%
n,$C_{n_0}$,0.000,0.000,0.000,NA
n,$C_{n_\beta}$,0.073,0.080,-0.007,9.40%
n,$C_{n_p}$,0.069,0.054,0.015,21.17%
n,$C_{n_q}$,-0.095,-0.014,-0.081,85.56%
n,$C_{n_{\delta_a}}$,-0.011,-0.010,-0.001,9.71%
n,$C_{n_{\delta_r}}$,-0.069,-0.063,-0.006,8.82%
Lift,$C_{L_0}$,0.230,0.219,0.011,4.59%
Lift,$C_{L_{\alpha}}$,5.610,5.867,-0.257,4.58%
Lift,$C_{L_q}$,7.950,-10.563,18.513,232.86%
Lift,$C_{L_{\delta_e}}$,0.130,0.121,0.009,7.30%
Drag,$C_{D_0}$,0.043,0.014,0.029,66.92%
Drag,$C_{D_{\alpha}}$,0.030,0.113,-0.083,276.08%
Drag,$C_{D_q}$,0.000,-0.069,0.069,NA
Drag,$C_{D_{\delta_e}}$,0.014,0.011,0.003,22.61%
m,$C_{m_0}$,0.014,0.020,-0.006,42.80%
m,$C_{m_{\alpha}}$,-2.740,-2.878,0.138,5.05%
m,$C_{m_q}$,-38.210,-25.885,-12.325,32.26%
m,$C_{m_{\delta_e}}$,-0.990,-0.972,-0.018,1.85%